"Source:","/home/pierreg/Documents/LifeStyle/Electronics/Projects/BigFoot/PCB/BigFoot.kicad_sch"
"Date:","lun. 12 déc. 2022 15:57:01"
"Tool:","Eeschema (6.0.9)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","42"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","R2","47","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~"
"","","R3","47","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~"
"","","R4","47","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~"
"","","R5","47","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~"
"","","R6","47","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~"
"","","R7","47","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~"
"","","R8","47","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~"
"","","R9","47","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~"
"","","R10","47","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~"
"","","R11","47","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~"
"","","StateLED1","TLHR4400-AS12Z","Device:LED","LED_THT:LED_D3.0mm","https://www.mouser.fr/datasheet/2/427/tlhg440-1766941.pdf"
"","","TRS/RTS_Switch1","LSSA22L-V","Switch:SW_Push_DPDT","Switch:Switch_slide_2PDT_LSSA22L-V","~"
"","","TRS/RTS_Switch2","LSSA22L-V","Switch:SW_Push_DPDT","Switch:Switch_slide_2PDT_LSSA22L-V","~"
"","","U1","74HCT4051","74xx:74HC4051","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/cd74hc4051.pdf"
"","","U2","74HCT4051","74xx:74HC4051","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/cd74hc4051.pdf"
"","","U3","Teensy-LC","teensy:Teensy-LC","teensy:Teensy_LC",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","10","BankSwitch+1, BankSwith-1, FootSwitch0, FootSwitch1, FootSwitch2, FootSwitch3, FootSwitch4, FootSwitch5, FootSwitch6, FootSwitch7","FS5700SPMT2B2M1QEH","Switch:SW_SPDT","Switch:Switch_Foot_SPDT_Momentary_Eswitch_FS5700SPMT2B2M1QEH","https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/226/FS5700.pdf"
"2","2","ExprPedalJack1, ExprPedalJack2","ACJS-IH","Connector:AudioJack3","Connectors:Jack_6.35_Horizontal_Amphenol_ACJS-IH","https://www.amphenolaudio.com/products/14-2/m-series/"
"3","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"4","9","LedSW0, LedSW1, LedSW2, LedSW3, LedSW4, LedSW5, LedSW6, LedSW7, StateLED1","TLHR4400-AS12Z","Device:LED","LED_THT:LED_D3.0mm","https://www.mouser.fr/datasheet/2/427/tlhg440-1766941.pdf"
"5","1","MidiOut1","KCDX-5S-S2","Connector:DIN-5_180degree","Connectors:Circular_DIN_5P_KCDX-5S-S2","https://www.mouser.fr/datasheet/2/222/KCDX-334811.pdf"
"6","11","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11","47","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~"
"7","2","TRS/RTS_Switch1, TRS/RTS_Switch2","LSSA22L-V","Switch:SW_Push_DPDT","Switch:Switch_slide_2PDT_LSSA22L-V","~"
"8","2","U1, U2","74HCT4051","74xx:74HC4051","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/cd74hc4051.pdf"
"9","1","U3","Teensy-LC","teensy:Teensy-LC","teensy:Teensy_LC",""
